          ;       18435;   ;Filtro    ;Inicio                                  ;13052015      ;171236;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;       18435;   ;Filtro    ;tbk_param.txt                           ;13052015      ;171236;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;       18435;   ;Filtro    ;Terminado                               ;13052015      ;171236;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       18435;   ;sanitiza  ;inicio                                  ;13052015      ;171236;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       18435;   ;sanitiza  ;Array                                   ;13052015      ;171236;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       18435;   ;sanitiza  ;Fin                                     ;13052015      ;171236;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1555156708;       18435;   ;pago      ;inicio                                  ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1555156708;       18435;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;171236;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;       20092;   ;resultado ;Desencriptando                          ;13052015      ;171305;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       20092;   ;resultado ;Validacion                              ;13052015      ;171305;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
